Book, Chapter, Verse, Gamatria, value
Numbers, 26, 8, 229, ובני פלוא אליאב
Genesis, 49, 19, 310, גד גדוד יגודנו והוא יגד עקב
Leviticus, 21, 4, 400, לא יטמא בעל בעמיו להחלו
Deuteronomy, 2, 17, 560, וידבר יהוה אלי לאמר
Deuteronomy, 2, 2, 595, ויאמר יהוה אלי לאמר
Numbers, 33, 21, 626, ויסעו מלבנה ויחנו ברסה
Leviticus, 22, 8, 658, נבלה וטרפה לא יאכל לטמאה־בה אני יהוה
Deuteronomy, 32, 37, 738, ואמר אי אלהימו צור חסיו בו
Numbers, 33, 13, 800, ויסעו מדפקה ויחנו באלוש
Deuteronomy, 14, 13, 810, והראה ואת־האיה והדיה למינה
Numbers, 31, 53, 828, אנשי הצבא בזזו איש לו
Exodus, 15, 3, 832, יהוה איש מלחמה יהוה שמו
Numbers, 6, 8, 845, כל ימי נזרו קדש הוא ליהוה
Numbers, 26, 11, 853, ובני־קרח לא־מתו
Leviticus, 11, 15, 859, את כל־ערב למינו
Genesis, 25, 14, 864, ומשמע ודומה ומשא
Deuteronomy, 14, 14, 865, ואת כל־ערב למינו
Exodus, 6, 10, 895, וידבר יהוה אל־משה לאמר
Exodus, 13, 1, 895, וידבר יהוה אל־משה לאמר
Exodus, 14, 1, 895, וידבר יהוה אל־משה לאמר
Exodus, 16, 11, 895, וידבר יהוה אל־משה לאמר
Exodus, 25, 1, 895, וידבר יהוה אל־משה לאמר
Exodus, 30, 11, 895, וידבר יהוה אל־משה לאמר
Exodus, 30, 17, 895, וידבר יהוה אל־משה לאמר
Exodus, 30, 22, 895, וידבר יהוה אל־משה לאמר
Exodus, 31, 1, 895, וידבר יהוה אל־משה לאמר
Exodus, 40, 1, 895, וידבר יהוה אל־משה לאמר
Leviticus, 4, 1, 895, וידבר יהוה אל־משה לאמר
Leviticus, 5, 14, 895, וידבר יהוה אל־משה לאמר
Leviticus, 5, 20, 895, וידבר יהוה אל־משה לאמר
Leviticus, 6, 1, 895, וידבר יהוה אל־משה לאמר
Leviticus, 6, 12, 895, וידבר יהוה אל־משה לאמר
Leviticus, 6, 17, 895, וידבר יהוה אל־משה לאמר
Leviticus, 7, 22, 895, וידבר יהוה אל־משה לאמר
Leviticus, 7, 28, 895, וידבר יהוה אל־משה לאמר
Leviticus, 8, 1, 895, וידבר יהוה אל־משה לאמר
Leviticus, 12, 1, 895, וידבר יהוה אל־משה לאמר
Leviticus, 14, 1, 895, וידבר יהוה אל־משה לאמר
Leviticus, 17, 1, 895, וידבר יהוה אל־משה לאמר
Leviticus, 18, 1, 895, וידבר יהוה אל־משה לאמר
Leviticus, 19, 1, 895, וידבר יהוה אל־משה לאמר
Leviticus, 20, 1, 895, וידבר יהוה אל־משה לאמר
Leviticus, 21, 16, 895, וידבר יהוה אל־משה לאמר
Leviticus, 22, 1, 895, וידבר יהוה אל־משה לאמר
Leviticus, 22, 17, 895, וידבר יהוה אל־משה לאמר
Leviticus, 22, 26, 895, וידבר יהוה אל־משה לאמר
Leviticus, 23, 1, 895, וידבר יהוה אל־משה לאמר
Leviticus, 23, 9, 895, וידבר יהוה אל־משה לאמר
Leviticus, 23, 23, 895, וידבר יהוה אל־משה לאמר
Leviticus, 23, 26, 895, וידבר יהוה אל־משה לאמר
